Date,Unit1,Unit2,Unit3,Unit6
20150517,bad,MACR,1800,bad
20150519,bad,SHAN,BISO,bad
20150521,bad,UPBA,WGAT,bad
20150523,bad,CAVI,AVEQ,bad
20150525,bad,JAIM,RE30,bad
20150527,bad,RE27,CABI,bad
20150529,bad,AMAD,BKOK,bad
20150531,bad,RE08,SHAA,bad
20150602,bad,PLAN,SHIL,bad
20150604,bad,HORS,ARFT,bad
20150606,bad,MISH,SOHA,bad
20150608,bad,LOLF,bad,bad
20150610,bad,JAIM,STRO,bad
20150612,bad,AARD,GATE,bad
20150614,bad,BLMP,PLQE,bad
20150616,bad,1600,DUMP,bad
20150618,bad,PLAN,DIPS,bad
20150620,bad,RE17,SHAN,bad
20150622,bad,BISO,ARFT,bad
20150624,bad,WGAT,WMRD,bad
20150626,bad,CAVI,1500,bad
20150628,bad,RE27,RE07,bad
20150630,bad,RE30,SHIL,bad
20150702,bad,H-B,GATE,bad
20150704,bad,KNOL,HORS,STRO
20150706,bad,MACR,ROBH,GATR
20150708,bad,BISO,DIPS,bad
20150710,bad,PIPE,GATR,SOHA
20150712,bad,CABI,PIPE,ARFT
20150714,bad,bad,bad,bad
20150721,bad,RE17,1800,AARD
20150723,bad,1500,bad,UPBA
20150725,bad,WMRD,MONA,SHIL
20150727,bad,RE27,1600,SHAA
20150729,bad,FNCH,MISH,SHW
20150731,bad,KNOL,RE30,PLQE
20150802,bad,bad,bad,bad
20150804,bad,GATE,SHAN,MONA
20150806,bad,MLF2,BKOK,HORS
20150808,bad,LOLF,WGAT,RE19
20150810,bad,DUMP,LHAY,RE18
20150812,bad,BISO,CABI,RE17
20150814,bad,MLF2,UPBA,PLAN
20150816,bad,bad,bad,bad
20150818,bad,bad,bad,bad
20150820,bad,bad,bad,bad
20150821,bad,ARFT,RE27,LHAY
20150823,bad,DIPS,RE18,AARD
20150825,bad,bad,bad,bad
20150827,bad,bad,bad,bad
20150829,bad,bad,bad,bad
20150901,bad,bad,bad,bad
20150902,bad,SHW,RE17,1500
20150904,bad,LOLF,PIPE,MISH
20150906,bad,MONA,STRO,MACR
20150908,bad,ROBH,PLQE,RE27
20150910,bad,BLMP,KNOL,WMRD
20150912,bad,RE08,GATR,FNCH
20150914,bad,AMAD,RE30,1600
20150916,bad,SHAN,RE30,H-B
20150918,bad,BKOK,JAIM,HORS
20150920,bad,BKOK,JAIM,HORS
20150923,bad,GATR,BKOK,SHW
20150925,bad,RE30,ROBH,UPBA
20150927,bad,AMAD,AVEQ,RE27
20150929,bad,DIPS,CABI,WMRD
20151001,bad,RE07,RE18,ARFT
20151003,bad,1500,SHIL,JAIM
20151005,bad,RE27,RE08,1800
20151007,bad,LHAY,BLMP,DUMP
20151010,bad,FNCH,MACR,CAVI
20151012,bad,KNOL,WGAT,1600
20151014,bad,H-B,1500,SHAN
20151016,bad,MISH,PLAN,LOLF
20151018,bad,STRO,PLAN,LOLF
20151020,bad,BKOK,BISO,MONA
20151022,bad,DUMP,MONA,BISO
20151024,bad,DIPS,BLMP,CAVI
20151026,bad,LHAY,HORS,PIPE
20151028,bad,PLQE,RE19,AARD
20151030,bad,GATE,MLF2,SHAA
20151103,bad,CHIM,SOHA,RE17
20151105,bad,RE19,SHIL,1800
20151107,bad,PLQE,RE07,CAVI
20151109,bad,ARFT,FNCH,RE08
20151111,bad,PIPE,SHAA,DUMP
20151113,bad,UPBA,SHW,BKOK
20151115,bad,RE19,MISH,BKOK
20151117,bad,RE18,AMAD,CABI
20151119,bad,SHIL,SHAN,MONA
20151121,bad,SHW,KNOL,PIPE
20151123,bad,CAVI,UPBA,KNOL
20151125,bad,bad,bad,bad
20151128,bad,CHIM,1800,SHAN
20151130,bad,1600,ARFT,RE08
20151202,bad,MLF2,AVEQ,Bad
20151204,bad,FNCH,AMAD,RE18
20151206,bad,RE30,LOLF,LHAY
20151208,bad,1800,PIPE,CHIM
20151210,bad,STRO,JAIM,UPBA
20151212,bad,CAVI,ROBH,WMRD
20151214,bad,SHAN,AVEQ,H-B
20151216,bad,AARD,BLMP,SHIL
20151218,bad,WGAT,GATE,MACR
20151220,bad,bad,bad,bad
20151222,bad,bad,bad,bad
20151224,bad,bad,bad,bad
20151226,bad,bad,bad,bad
20151228,bad,bad,bad,bad
20151230,bad,bad,bad,bad
20160101,bad,bad,bad,bad
20160103,bad,RE08,SHAA,MLF2
20160105,bad,SHIL,DUMP,SOHA
20160107,bad,RE07,bad,AVEQ
20160109,bad,AVEQ,bad,CABI
20160111,bad,CABI,bad,CHIM
20160113,bad,H-B,bad,bad
20160115,bad,SOHA,WGAT,bad
20160117,bad,AMAD,UPBA,bad
20160119,bad,GATR,CAVI,bad
20160121,bad,UPBA,SHAA,bad
20160123,bad,MACR,ROBH,bad
20160125,bad,RE18,RE07,bad
20160128,CHIM,WGAT,LOLF,bad
20160130,RE19,MLF2,PLAN,bad
20160201,AVEQ,MISH,GATE,bad
20160203,KNOL,WMRD,RE17,bad
20160204,PIPE,1800,FNCH,bad
20160208,ARFT,PLQE,JAIM,bad
20160210,SHW,SHAA,RE08,bad
20160212,CHIM,JAIM,STRO,bad
20160214,HORS,SOHA,BLMP,bad
20160216,DUMP,WGAT,BLMP,bad
20160218,SHW,SHIL,GATR,bad
20160220,1800,WMRD,PLQE,UPBA
20160222,KNOL,MISH,PIPE,RE08
20160224,STRO,bad,RE17,AMAD
20160226,CABI,bad,MLF2,RE07
20160228,MACR,bad,1600,RE18
20160301,LHAY,bad,CAVI,SHAA
20160303,DIPS,bad,LOLF,RE19
20160306,H-B,bad,SHAA,BISO
20160309,GATR,bad,RE08,SHIL
20160311,CABI,bad,RE17,SHAN
20160314,DIPS,bad,ROBH,JAIM
20160316,KNOL,bad,FNCH,DUMP
20160318,PLQE,bad,1500,GATE
20160320,AVEQ,bad,LOLF,CHIM
